Sorter: QuickSortGPT, Distribution: Inverse-sorted, DataType: Integer, ArraySize: 2500, InputSize: Short, Time: 11.355 ms
Sorter: QuickSortGPT, Distribution: Inverse-sorted, DataType: Integer, ArraySize: 2500, InputSize: Long, Time: 11.827 ms
Sorter: QuickSortGPT, Distribution: Inverse-sorted, DataType: Integer, ArraySize: 25000, InputSize: Short, Time: 761.759 ms
Sorter: QuickSortGPT, Distribution: Inverse-sorted, DataType: Integer, ArraySize: 25000, InputSize: Long, Time: 777.161 ms
Sorter: QuickSortGPT, Distribution: Inverse-sorted, DataType: Double, ArraySize: 250, InputSize: Short, Time: 0.225 ms
Sorter: QuickSortGPT, Distribution: Inverse-sorted, DataType: Double, ArraySize: 250, InputSize: Long, Time: 0.248 ms
Sorter: QuickSortGPT, Distribution: Inverse-sorted, DataType: Double, ArraySize: 2500, InputSize: Short, Time: 21.761 ms
Sorter: QuickSortGPT, Distribution: Inverse-sorted, DataType: Double, ArraySize: 2500, InputSize: Long, Time: 21.841 ms
Sorter: QuickSortGPT, Distribution: Inverse-sorted, DataType: Double, ArraySize: 25000, InputSize: Short, Time: 2404.347 ms
Sorter: QuickSortGPT, Distribution: Inverse-sorted, DataType: Double, ArraySize: 25000, InputSize: Long, Time: 2354.091 ms
Sorter: QuickSortGPT, Distribution: Inverse-sorted, DataType: String, ArraySize: 250, InputSize: Short, Time: 0.278 ms
Sorter: QuickSortGPT, Distribution: Inverse-sorted, DataType: String, ArraySize: 250, InputSize: Long, Time: 0.276 ms
Sorter: QuickSortGPT, Distribution: Inverse-sorted, DataType: String, ArraySize: 2500, InputSize: Short, Time: 30.330 ms
Sorter: QuickSortGPT, Distribution: Inverse-sorted, DataType: String, ArraySize: 2500, InputSize: Long, Time: 28.215 ms
Sorter: QuickSortGPT, Distribution: Inverse-sorted, DataType: String, ArraySize: 25000, InputSize: Short, Time: 4218.500 ms
Sorter: QuickSortGPT, Distribution: Inverse-sorted, DataType: String, ArraySize: 25000, InputSize: Long, Time: 4441.901 ms

Sorter: SelectionSortGPT, Distribution: Random, DataType: Integer, ArraySize: 250, InputSize: Short, Time: 1.517 ms
Sorter: SelectionSortGPT, Distribution: Random, DataType: Integer, ArraySize: 250, InputSize: Long, Time: 1.488 ms
Sorter: SelectionSortGPT, Distribution: Random, DataType: Integer, ArraySize: 2500, InputSize: Short, Time: 56.803 ms
Sorter: SelectionSortGPT, Distribution: Random, DataType: Integer, ArraySize: 2500, InputSize: Long, Time: 21.068 ms
Sorter: SelectionSortGPT, Distribution: Random, DataType: Integer, ArraySize: 25000, InputSize: Short, Time: 1861.266 ms
Sorter: SelectionSortGPT, Distribution: Random, DataType: Integer, ArraySize: 25000, InputSize: Long, Time: 2006.765 ms
Sorter: SelectionSortGPT, Distribution: Random, DataType: Double, ArraySize: 250, InputSize: Short, Time: 1.602 ms
Sorter: SelectionSortGPT, Distribution: Random, DataType: Double, ArraySize: 250, InputSize: Long, Time: 1.522 ms
Sorter: SelectionSortGPT, Distribution: Random, DataType: Double, ArraySize: 2500, InputSize: Short, Time: 16.980 ms
Sorter: SelectionSortGPT, Distribution: Random, DataType: Double, ArraySize: 2500, InputSize: Long, Time: 7.807 ms
Sorter: SelectionSortGPT, Distribution: Random, DataType: Double, ArraySize: 25000, InputSize: Short, Time: 863.934 ms
Sorter: SelectionSortGPT, Distribution: Random, DataType: Double, ArraySize: 25000, InputSize: Long, Time: 863.493 ms
Sorter: SelectionSortGPT, Distribution: Random, DataType: String, ArraySize: 250, InputSize: Short, Time: 1.133 ms
Sorter: SelectionSortGPT, Distribution: Random, DataType: String, ArraySize: 250, InputSize: Long, Time: 0.367 ms
Sorter: SelectionSortGPT, Distribution: Random, DataType: String, ArraySize: 2500, InputSize: Short, Time: 23.522 ms
Sorter: SelectionSortGPT, Distribution: Random, DataType: String, ArraySize: 2500, InputSize: Long, Time: 22.212 ms
Sorter: SelectionSortGPT, Distribution: Random, DataType: String, ArraySize: 25000, InputSize: Short, Time: 2601.487 ms
Sorter: SelectionSortGPT, Distribution: Random, DataType: String, ArraySize: 25000, InputSize: Long, Time: 3258.089 ms
Sorter: SelectionSortGPT, Distribution: Pre-sorted, DataType: Integer, ArraySize: 250, InputSize: Short, Time: 0.212 ms
Sorter: SelectionSortGPT, Distribution: Pre-sorted, DataType: Integer, ArraySize: 250, InputSize: Long, Time: 0.176 ms
Sorter: SelectionSortGPT, Distribution: Pre-sorted, DataType: Integer, ArraySize: 2500, InputSize: Short, Time: 17.240 ms
Sorter: SelectionSortGPT, Distribution: Pre-sorted, DataType: Integer, ArraySize: 2500, InputSize: Long, Time: 17.264 ms
Sorter: SelectionSortGPT, Distribution: Pre-sorted, DataType: Integer, ArraySize: 25000, InputSize: Short, Time: 1722.863 ms
Sorter: SelectionSortGPT, Distribution: Pre-sorted, DataType: Integer, ArraySize: 25000, InputSize: Long, Time: 1724.994 ms
Sorter: SelectionSortGPT, Distribution: Pre-sorted, DataType: Double, ArraySize: 250, InputSize: Short, Time: 0.177 ms
Sorter: SelectionSortGPT, Distribution: Pre-sorted, DataType: Double, ArraySize: 250, InputSize: Long, Time: 0.176 ms
Sorter: SelectionSortGPT, Distribution: Pre-sorted, DataType: Double, ArraySize: 2500, InputSize: Short, Time: 17.233 ms
Sorter: SelectionSortGPT, Distribution: Pre-sorted, DataType: Double, ArraySize: 2500, InputSize: Long, Time: 17.233 ms
Sorter: SelectionSortGPT, Distribution: Pre-sorted, DataType: Double, ArraySize: 25000, InputSize: Short, Time: 1930.778 ms
Sorter: SelectionSortGPT, Distribution: Pre-sorted, DataType: Double, ArraySize: 25000, InputSize: Long, Time: 1928.255 ms
Sorter: SelectionSortGPT, Distribution: Pre-sorted, DataType: String, ArraySize: 250, InputSize: Short, Time: 0.224 ms
Sorter: SelectionSortGPT, Distribution: Pre-sorted, DataType: String, ArraySize: 250, InputSize: Long, Time: 0.223 ms
Sorter: SelectionSortGPT, Distribution: Pre-sorted, DataType: String, ArraySize: 2500, InputSize: Short, Time: 22.199 ms
Sorter: SelectionSortGPT, Distribution: Pre-sorted, DataType: String, ArraySize: 2500, InputSize: Long, Time: 24.039 ms
Sorter: SelectionSortGPT, Distribution: Pre-sorted, DataType: String, ArraySize: 25000, InputSize: Short, Time: 3237.919 ms
Sorter: SelectionSortGPT, Distribution: Pre-sorted, DataType: String, ArraySize: 25000, InputSize: Long, Time: 3247.087 ms
Sorter: SelectionSortGPT, Distribution: Inverse-sorted, DataType: Integer, ArraySize: 250, InputSize: Short, Time: 0.203 ms
Sorter: SelectionSortGPT, Distribution: Inverse-sorted, DataType: Integer, ArraySize: 250, InputSize: Long, Time: 0.191 ms
Sorter: SelectionSortGPT, Distribution: Inverse-sorted, DataType: Integer, ArraySize: 2500, InputSize: Short, Time: 20.043 ms
Sorter: SelectionSortGPT, Distribution: Inverse-sorted, DataType: Integer, ArraySize: 2500, InputSize: Long, Time: 19.893 ms
Sorter: SelectionSortGPT, Distribution: Inverse-sorted, DataType: Integer, ArraySize: 25000, InputSize: Short, Time: 1891.795 ms
Sorter: SelectionSortGPT, Distribution: Inverse-sorted, DataType: Integer, ArraySize: 25000, InputSize: Long, Time: 1893.217 ms
Sorter: SelectionSortGPT, Distribution: Inverse-sorted, DataType: Double, ArraySize: 250, InputSize: Short, Time: 0.180 ms
Sorter: SelectionSortGPT, Distribution: Inverse-sorted, DataType: Double, ArraySize: 250, InputSize: Long, Time: 0.179 ms
Sorter: SelectionSortGPT, Distribution: Inverse-sorted, DataType: Double, ArraySize: 2500, InputSize: Short, Time: 18.110 ms
Sorter: SelectionSortGPT, Distribution: Inverse-sorted, DataType: Double, ArraySize: 2500, InputSize: Long, Time: 17.735 ms
Sorter: SelectionSortGPT, Distribution: Inverse-sorted, DataType: Double, ArraySize: 25000, InputSize: Short, Time: 1967.139 ms
Sorter: SelectionSortGPT, Distribution: Inverse-sorted, DataType: Double, ArraySize: 25000, InputSize: Long, Time: 1864.876 ms
Sorter: SelectionSortGPT, Distribution: Inverse-sorted, DataType: String, ArraySize: 250, InputSize: Short, Time: 0.266 ms
Sorter: SelectionSortGPT, Distribution: Inverse-sorted, DataType: String, ArraySize: 250, InputSize: Long, Time: 0.275 ms
Sorter: SelectionSortGPT, Distribution: Inverse-sorted, DataType: String, ArraySize: 2500, InputSize: Short, Time: 28.612 ms
Sorter: SelectionSortGPT, Distribution: Inverse-sorted, DataType: String, ArraySize: 2500, InputSize: Long, Time: 27.602 ms
Sorter: SelectionSortGPT, Distribution: Inverse-sorted, DataType: String, ArraySize: 25000, InputSize: Short, Time: 4393.388 ms
Sorter: SelectionSortGPT, Distribution: Inverse-sorted, DataType: String, ArraySize: 25000, InputSize: Long, Time: 4040.175 ms

Average execution times (sorted by mean):
Sorter: QuickSortGPT, Average Time: 694.539 ms, Std Dev: 1452.975 ms
Sorter: SelectionSortGPT, Average Time: 772.282 ms, Std Dev: 1207.408 ms
